log_type,timestamp,trade_id,instrument,direction,units,entry_price,stop_loss,take_profit,type,reason,timeInForce,relatedTransactionIDs,status,exit_time,closed
entry,2025-06-12T09:21:23.433675162Z,1333,USD_HKD,Buy,100000,7.84903,7.84703,7.85103,MARKET_ORDER,CLIENT_ORDER,FOK,"1333, 1334, 1335, 1336",filled,,False
manual_close_requested,2025-06-12T09:21:23.433675162Z,1334,USD_HKD,Buy,100000,7.84922,7.84703,7.85103,MARKET_ORDER,MANUAL_CLOSE,,,manual_close_pending,,False
closed,2025-06-12T09:21:23.433675162Z,1334,USD_HKD,Buy,100000,7.84922,7.84703,7.85103,MARKET_ORDER,MANUAL_CLOSE,,,manual_close_executed,2025-06-12T09:21:35.092939,True
entry,2025-06-19T01:34:57.498155490Z,1341,USD_HKD,Buy,100000,7.84975,7.84775,7.85175,MARKET_ORDER,CLIENT_ORDER,FOK,"1341, 1342, 1343, 1344",filled,,False
manual_close_pending,2025-06-19T01:34:57.498155490Z,1342,USD_HKD,Buy,100000,7.84993,7.84775,7.85175,MARKET_ORDER,MANUAL_CLOSE,,,manual_close_pending,,False
closed,2025-06-19T01:34:57.498155490Z,1342,USD_HKD,Buy,100000,7.84993,7.84775,7.85175,MARKET_ORDER,MANUAL_CLOSE,,,manual_close_executed,2025-06-19T01:35:25.560553,True
entry,2025-06-19T01:35:27.711554576Z,1349,USD_HKD,Buy,100000,7.84975,7.84775,7.85175,MARKET_ORDER,CLIENT_ORDER,FOK,"1349, 1350, 1351, 1352",filled,,False
entry,2025-06-19T01:35:57.930870907Z,1353,USD_HKD,Buy,100000,7.84975,7.84775,7.85175,MARKET_ORDER,CLIENT_ORDER,FOK,"1353, 1354",canceled (POSITION_SIZE_EXCEEDED),,False
entry,2025-06-19T01:36:28.127246849Z,1355,USD_HKD,Buy,100000,7.84975,7.84775,7.85175,MARKET_ORDER,CLIENT_ORDER,FOK,"1355, 1356",canceled (POSITION_SIZE_EXCEEDED),,False
manual_close_pending,2025-06-19T01:35:27.711554576Z,1350,USD_HKD,Buy,100000,7.84993,7.84775,7.85175,MARKET_ORDER,MANUAL_CLOSE,,,manual_close_pending,,False
closed,2025-06-19T01:35:27.711554576Z,1350,USD_HKD,Buy,100000,7.84993,7.84775,7.85175,MARKET_ORDER,MANUAL_CLOSE,,,manual_close_executed,2025-06-19T01:36:49.528031,True
entry,2025-06-19T02:09:47.546204043Z,1361,USD_SGD,Both,100000,1.28787,1.28987,1.28587,MARKET_ORDER,CLIENT_ORDER,FOK,"1361, 1362, 1363, 1364",filled,,False
entry,2025-06-19T02:10:17.815617559Z,1365,USD_SGD,Both,100000,1.28787,1.28987,1.28587,MARKET_ORDER,CLIENT_ORDER,FOK,"1365, 1366",canceled (FIFO_VIOLATION_SAFEGUARD_VIOLATION),,False
